temperature,cycle,strain,infected,disseminated,ovi,total,p.ovi
10,FALSE,none,FALSE,FALSE,0,30,0
15,FALSE,none,FALSE,FALSE,20,30,0.666666667
20,FALSE,none,FALSE,FALSE,21,30,0.7
25,FALSE,none,FALSE,FALSE,24,30,0.8
25,TRUE,none,FALSE,FALSE,23,30,0.766666667
30,FALSE,none,FALSE,FALSE,17,30,0.566666667
33,FALSE,none,FALSE,FALSE,4,30,0.133333333
10,FALSE,WN02,FALSE,FALSE,6,32,0.1875
15,FALSE,WN02,FALSE,FALSE,8,40,0.2
20,FALSE,WN02,FALSE,FALSE,4,12,0.333333333
25,FALSE,WN02,FALSE,FALSE,10,13,0.769230769
25,TRUE,WN02,FALSE,FALSE,2,5,0.4
30,FALSE,WN02,FALSE,FALSE,6,11,0.545454545
33,FALSE,WN02,FALSE,FALSE,0,15,0
10,FALSE,WN02,TRUE,FALSE,0,6,0
15,FALSE,WN02,TRUE,FALSE,1,3,0.333333333
20,FALSE,WN02,TRUE,FALSE,5,12,0.416666667
25,FALSE,WN02,TRUE,FALSE,3,7,0.428571429
25,TRUE,WN02,TRUE,FALSE,2,5,0.4
30,FALSE,WN02,TRUE,FALSE,3,13,0.230769231
33,FALSE,WN02,TRUE,FALSE,0,13,0
10,FALSE,WN02,TRUE,TRUE,3,12,0.25
15,FALSE,WN02,TRUE,TRUE,3,3,1
20,FALSE,WN02,TRUE,TRUE,15,25,0.6
25,FALSE,WN02,TRUE,TRUE,22,29,0.75862069
25,TRUE,WN02,TRUE,TRUE,25,37,0.675675676
30,FALSE,WN02,TRUE,TRUE,14,23,0.608695652
33,FALSE,WN02,TRUE,TRUE,0,20,0
10,FALSE,NY10,FALSE,FALSE,0,16,0
15,FALSE,NY10,FALSE,FALSE,12,36,0.333333333
20,FALSE,NY10,FALSE,FALSE,5,12,0.416666667
25,FALSE,NY10,FALSE,FALSE,3,7,0.428571429
25,TRUE,NY10,FALSE,FALSE,5,14,0.357142857
30,FALSE,NY10,FALSE,FALSE,3,5,0.6
33,FALSE,NY10,FALSE,FALSE,0,4,0
10,FALSE,NY10,TRUE,FALSE,0,18,0
15,FALSE,NY10,TRUE,FALSE,5,10,0.5
20,FALSE,NY10,TRUE,FALSE,8,16,0.5
25,FALSE,NY10,TRUE,FALSE,8,10,0.8
25,TRUE,NY10,TRUE,FALSE,5,11,0.454545455
30,FALSE,NY10,TRUE,FALSE,1,6,0.166666667
33,FALSE,NY10,TRUE,FALSE,0,5,0
10,FALSE,NY10,TRUE,TRUE,0,13,0
15,FALSE,NY10,TRUE,TRUE,0,3,0
20,FALSE,NY10,TRUE,TRUE,16,21,0.761904762
25,FALSE,NY10,TRUE,TRUE,21,29,0.724137931
25,TRUE,NY10,TRUE,TRUE,18,23,0.782608696
30,FALSE,NY10,TRUE,TRUE,27,39,0.692307692
33,FALSE,NY10,TRUE,TRUE,3,37,0.081081081